title,company_name,location,salary_extension,salary_unit,experience_required,education_required,skills,welfareList
少儿编程教师,鸿才,肇庆,4-7K,月薪,经验不限,大专,图形化编程 Python C++,零食下午茶 节日福利 餐补 五险一金 年终奖 带薪年假 通讯补贴
java开发工程师,蓝图商务,肇庆,5-6K·13薪,月薪,1-3年,大专,Java Nginx SpringCloud MySQL MyBatis Redis,有无线网 绩效奖金 年终奖 带薪年假 五险一金
IT技术-会Java（珠海驻场-港企/粤语+英语）,极联股份,肇庆,11-19K,月薪,5-10年,大专,,五险一金 带薪年假 节日福利 零食下午茶 全勤奖
JAVA初级工程师,云虫科技,肇庆,3-5K,月薪,经验不限,大专,Java SpringCloud MySQL 服务器配置 Redis SpringMVC MVC开发 Spring Oracle,底薪加提成 年终奖 五险一金 保底工资 绩效奖金
java开发工程师,广东恒逸软件,肇庆,4-8K,月薪,经验不限,本科,后端工程师 无留学背景偏好 Java 计算机/软件工程相关经验 Java开发经验 中大型项目架构设计经验,企业年金 包吃 绩效奖金 底薪加提成 带薪年假 法定节假日三薪 员工旅游 定期体检 全勤奖 加班补助 节日福利 五险一金 保底工资 年终奖 工龄奖 节假日加班费 夜班补助
java全栈开发工程师,华卫软件,肇庆,5-7K,月薪,1-3年,学历不限,Java Spring MySQL ERP开发经验 MES开发经验 Vue,交通补助 通讯补贴
java开发工程师,优普计算机,肇庆,6-10K,月薪,经验不限,大专,后端工程师,带薪年假 五险一金 餐补 交通补助 定期体检 补充医疗保险 通讯补贴
后端开发,寻迹医疗,肇庆,5-7K,月薪,1-3年,大专,Laravel/Yii/ThinkPHP PHP开发经验 PHP MySQL/Redis/MongoDB,五险一金 员工旅游 包吃
java程序员,肇庆新供销,肇庆,6-9K,月薪,3-5年,大专,Java 不接受居家办公 SpringCloud MySQL 云计算经验 架构设计经验,餐补 交通补助 通讯补贴 节日福利 包吃 带薪年假
中级java开发工程师,肇庆市拓衡软件,肇庆,6-9K,月薪,1-3年,大专,Java Spring SpringCloud MyBatis MySQL 团队管理经验 架构设计经验 分布式经验,
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
Java开发工程师,亿达信息,肇庆,10-13K,月薪,3-5年,大专,搜索引擎技术 Linux 服务器配置 微服务架构 分布式技术 多线程 架构师 Spring,加班补助 节日福利 补充医疗保险 带薪年假 五险一金 定期体检
Java开发工程师,现代筑美家居,肇庆,6-8K·14薪,月薪,1-3年,大专,微服务架构 SpringBoot SpringCloud Oracle Redis 后端开发 企业级应用开发 Linux,通讯补贴 带薪年假 年终奖 五险一金 加班补助 节日福利 餐补 免费班车 住房补贴
少儿机器人编程教师,学思堂,肇庆,5-6K,月薪,1-3年,大专,线下教育 坐班 小班教学（3-25人） 中学生 学前儿童/小学生 幼儿教育工作经验 心理学专业背景 玩教具制作 全职 有计算机或编程方面教资证,有无线网 保底工资 全勤奖 包住 工龄奖 五险一金 包吃
中级java开发工程师,简码科技,肇庆,7-8K,月薪,3-5年,大专,Java Spring MySQL,年终奖 零食下午茶 带薪年假 五险一金
JAVA开发工程师,奥士康,肇庆,10-15K,月薪,5-10年,大专,Java MyBatis Spring SpringCloud MySQL Oracle SQL Server 分布式经验 微服务经验 MES开发经验,全勤奖 生日福利 有无线网 节假日加班费 宿舍有空调 补充医疗保险 绩效奖金 包吃 带薪年假 工龄奖 团建聚餐 包住 定期体检 节日福利 法定节假日三薪 五险一金
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
Golang,智华,肇庆,5-10K,月薪,1-3年,本科,Golang Python Kratos框架 Protobuf协议 Docker/Kubernetes gRPC/HTTP通信,加班补助 全勤奖
